epoch,layer,domain_probe_auc,train_activation_enrichment,actual_activation_enrichment,train_counterfactual_cosine,actual_counterfactual_cosine
0,2,1.0,1.2781458083273658,1.0629750109064686,0.9489905834197998,0.9628153443336487
0,5,1.0,1.6643339689949135,1.1881305837251015,0.9721437096595764,0.9760196805000305
0,8,1.0,2.23205191837804,1.203551759182839,0.9864106774330139,0.9873754382133484
0,11,1.0,1.197197297888218,0.9859624487980181,0.9324235320091248,0.99737948179245
0,22,1.0,2.307672602709325,1.3739739700119007,0.9909138083457947,0.9922804832458496
0,26,1.0,2.2968501689371856,1.3817222216003942,0.9823393225669861,0.9810090661048889
0,30,1.0,2.6378243600365905,1.3543857011760767,0.9844157695770264,0.9780234694480896
0,34,1.0,3.5259345522428838,1.51616656457946,0.9859177470207214,0.9918394684791565
1,2,1.0,1.2150768683480475,1.0418888359017646,0.9706624150276184,0.9587538242340088
1,5,1.0,1.3050373315634696,1.0507347848177557,0.9933295845985413,0.9873777031898499
1,8,1.0,1.6733161151348908,1.0713766964447313,0.997608482837677,0.9922869801521301
1,11,1.0,1.006029028399256,0.9902567332163472,0.9960882067680359,0.992051362991333
1,22,1.0,2.0020113676804123,1.1222004701182065,0.9934861660003662,0.9827672839164734
1,26,1.0,1.7923098752204918,1.1026073838676302,0.9924564361572266,0.9863371849060059
1,30,1.0,1.5052793315720778,1.0666433240135846,0.9825373291969299,0.9853389263153076
1,34,1.0,1.323950519510291,0.8754061994797904,0.992132842540741,0.992177426815033
5,2,1.0,1.2232075073563904,1.0434955329414555,0.9729499816894531,0.9696716666221619
5,5,0.9625,1.3433652238782685,1.070859053535538,0.9940292835235596,0.990139901638031
5,8,1.0,1.6847481864623528,1.078759873418243,0.9972423911094666,0.9936055541038513
5,11,0.975,0.94511996788379,1.0000389837501522,0.9870949387550354,0.9974604249000549
5,22,1.0,2.3756169000755114,1.2457440343049158,0.9943005442619324,0.9864037036895752
5,26,1.0,2.351222809637544,1.2737224043163096,0.9962560534477234,0.9875783920288086
5,30,1.0,2.240586420768083,1.2369682194792453,0.9928342700004578,0.9819974303245544
5,34,1.0,2.4891296101861706,1.1790489534655293,0.9926599860191345,0.9934108257293701
10,2,1.0,1.2188910180160508,1.044349076092671,0.9741845726966858,0.9709649085998535
10,5,1.0,1.3362758118045786,1.0700264622137807,0.9950459599494934,0.9899986386299133
10,8,1.0,1.689086226549301,1.075480941795017,0.9985212683677673,0.9920259118080139
10,11,1.0,0.9290930551230187,0.9959591968981815,0.9890766143798828,0.995842695236206
10,22,1.0,2.2751402302078074,1.2593790331549861,0.9946965575218201,0.9894702434539795
10,26,1.0,2.339015384406342,1.3073992663870844,0.9972887635231018,0.993764340877533
10,30,1.0,2.2329406563622327,1.2424130162170461,0.9962312579154968,0.9944016337394714
10,34,1.0,2.436155841636596,1.2663142349070333,0.9949943423271179,0.9974859356880188
20,2,1.0,1.2183671728099992,1.0382437942147325,0.975257933139801,0.9692382216453552
20,5,1.0,1.342880454243117,1.068816040150047,0.9955818057060242,0.9893897175788879
20,8,1.0,1.7312438172249882,1.0881024346821344,0.998431384563446,0.9915065765380859
20,11,1.0,0.9245345014697942,0.994336998919472,0.9918058514595032,0.9955172538757324
20,22,1.0,2.3346562782754243,1.2412614104984672,0.9947380423545837,0.9883294105529785
20,26,1.0,2.35866238729206,1.2803216229820824,0.997131884098053,0.991520345211029
20,30,1.0,2.264276868732105,1.2095247294149984,0.9955622553825378,0.9929963946342468
20,34,1.0,2.472063303459757,1.1844451012907595,0.9955549836158752,0.9959332942962646
30,2,1.0,1.210656027394713,1.0392822304391964,0.9766867160797119,0.9716766476631165
30,5,1.0,1.3342377874785927,1.0681558917337017,0.9957442879676819,0.9895482063293457
30,8,1.0,1.701050537084045,1.0769625381036338,0.9981349110603333,0.9910628795623779
30,11,1.0,0.9487400822951425,0.9913753114544659,0.9908607006072998,0.9970824718475342
30,22,1.0,2.3160242241488715,1.250781245708612,0.9947116374969482,0.9866728186607361
30,26,1.0,2.344595706594118,1.2940643120923607,0.9967494010925293,0.9855553507804871
30,30,1.0,2.2334425914380653,1.2057184799176024,0.9959699511528015,0.9863882660865784
30,34,1.0,2.498319515352619,1.2042564109647838,0.9961398243904114,0.9943686127662659
40,2,1.0,1.2168402451650928,1.03972855570203,0.977672815322876,0.9734882712364197
40,5,1.0,1.3404791155182896,1.0723463094689683,0.9961497783660889,0.9910383820533752
