image,split,ty,tx,luma_std,entropy,kept,luma_mean
103324272_K20646_F1B02-1178_1_21.jpg,train,0,0,0.3,0.031,0,254.99
103324272_K20646_F1B02-1178_1_21.jpg,train,0,1,3.27,0.04,0,254.85
103324272_K20646_F1B02-1178_1_21.jpg,train,0,2,19.26,0.621,0,250.95
103324272_K20646_F1B02-1178_1_21.jpg,train,0,3,15.42,0.251,0,253.12
103324272_K20646_F1B02-1178_1_21.jpg,train,0,4,27.37,0.719,0,249.19
103324272_K20646_F1B02-1178_1_21.jpg,train,1,0,27.83,0.926,0,247.0
103324272_K20646_F1B02-1178_1_21.jpg,train,1,1,32.82,1.888,0,240.48
103324272_K20646_F1B02-1178_1_21.jpg,train,1,2,22.1,1.228,0,248.25
103324272_K20646_F1B02-1178_1_21.jpg,train,1,3,14.89,0.661,0,252.16
103324272_K20646_F1B02-1178_1_21.jpg,train,1,4,23.88,0.752,0,249.53
103324272_K20646_F1B02-1178_1_21.jpg,train,2,0,37.96,1.934,0,238.37
103324272_K20646_F1B02-1178_1_21.jpg,train,2,1,38.68,3.436,1,228.3
103324272_K20646_F1B02-1178_1_21.jpg,train,2,2,17.63,1.581,0,249.32
103324272_K20646_F1B02-1178_1_21.jpg,train,2,3,16.43,1.502,0,250.07
103324272_K20646_F1B02-1178_1_21.jpg,train,2,4,17.18,1.066,0,250.57
103324272_K20646_F1B02-1178_1_21.jpg,train,3,0,15.81,0.977,0,251.05
103324272_K20646_F1B02-1178_1_21.jpg,train,3,1,26.79,3.486,1,236.95
103324272_K20646_F1B02-1178_1_21.jpg,train,3,2,9.9,0.921,0,252.76
103324272_K20646_F1B02-1178_1_21.jpg,train,3,3,13.89,0.767,0,252.36
103324272_K20646_F1B02-1178_1_21.jpg,train,3,4,14.11,1.486,0,251.02
103324272_K20646_F1B02-1178_1_21.jpg,train,4,0,29.39,4.067,1,235.73
103324272_K20646_F1B02-1178_1_21.jpg,train,4,1,32.15,4.449,1,232.64
103324272_K20646_F1B02-1178_1_21.jpg,train,4,2,45.21,2.756,0,233.25
103324272_K20646_F1B02-1178_1_21.jpg,train,4,3,50.94,4.119,1,226.5
103324272_K20646_F1B02-1178_1_21.jpg,train,4,4,68.34,5.526,1,196.08
163230712_K23250_F1A02-1323_1_22.jpg,train,0,0,6.03,4.48,0,63.87
163230712_K23250_F1A02-1323_1_22.jpg,train,0,1,5.03,4.306,0,73.75
163230712_K23250_F1A02-1323_1_22.jpg,train,0,2,6.29,4.225,0,75.29
163230712_K23250_F1A02-1323_1_22.jpg,train,0,3,8.62,4.484,1,66.85
163230712_K23250_F1A02-1323_1_22.jpg,train,0,4,6.58,4.633,0,58.09
163230712_K23250_F1A02-1323_1_22.jpg,train,1,0,10.23,4.757,1,73.4
163230712_K23250_F1A02-1323_1_22.jpg,train,1,1,9.87,4.594,1,78.13
163230712_K23250_F1A02-1323_1_22.jpg,train,1,2,9.14,4.306,1,80.03
163230712_K23250_F1A02-1323_1_22.jpg,train,1,3,8.86,4.727,1,70.89
163230712_K23250_F1A02-1323_1_22.jpg,train,1,4,10.79,4.95,1,55.31
163230712_K23250_F1A02-1323_1_22.jpg,train,2,0,8.76,4.133,1,80.94
163230712_K23250_F1A02-1323_1_22.jpg,train,2,1,9.25,3.691,1,82.89
163230712_K23250_F1A02-1323_1_22.jpg,train,2,2,13.32,4.432,1,82.81
163230712_K23250_F1A02-1323_1_22.jpg,train,2,3,14.86,4.782,1,77.85
