epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1201.38,1.85025,3.75174,2.48205,0.54723,0.607,0.55868,0.3274,1.50781,2.80805,2.25935,4.99884e-05,4.99884e-05,0.0500616
2,2340.19,1.57016,2.26098,2.14807,0.72171,0.63149,0.73743,0.46337,1.26253,2.20185,1.94659,9.83019e-05,9.83019e-05,0.000109946
3,3457.43,1.27289,1.53206,1.86356,0.69602,0.72454,0.75417,0.5211,1.10241,2.90528,1.81064,9.33683e-05,9.33683e-05,9.33683e-05
4,4574.14,1.19707,1.34889,1.76272,0.87228,0.73533,0.84128,0.61158,1.03384,1.72897,1.72548,8.55018e-05,8.55018e-05,8.55018e-05
5,5692.54,1.11319,1.21661,1.68073,0.82179,0.78861,0.86113,0.61529,0.99244,1.89375,1.66819,7.525e-05,7.525e-05,7.525e-05
6,6811.08,1.06904,1.14262,1.63764,0.81353,0.81823,0.85482,0.62762,0.96024,1.84092,1.62316,6.33115e-05,6.33115e-05,6.33115e-05
7,7934.18,1.02686,1.0862,1.58902,0.84755,0.83764,0.89042,0.65262,0.94515,1.6098,1.60805,5.05e-05,5.05e-05,5.05e-05
8,9058.61,0.96611,0.99175,1.52757,0.85205,0.85068,0.90744,0.67332,0.91089,1.55263,1.55426,3.76885e-05,3.76885e-05,3.76885e-05
9,10183,0.93611,0.95768,1.48067,0.86211,0.85414,0.89164,0.66996,0.89915,1.59886,1.52946,2.575e-05,2.575e-05,2.575e-05
10,11308.2,0.89846,0.90661,1.44667,0.88558,0.85526,0.90427,0.68117,0.88013,1.52283,1.51167,1.54982e-05,1.54982e-05,1.54982e-05
11,12437.1,0.88026,0.88076,1.42757,0.86208,0.864,0.90153,0.68113,0.87852,1.48943,1.50494,7.63174e-06,7.63174e-06,7.63174e-06
12,13562,0.87128,0.86913,1.42093,0.86786,0.86847,0.9083,0.68608,0.87668,1.4921,1.49982,2.68667e-06,2.68667e-06,2.68667e-06
