epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,884.257,1.71269,2.93144,2.39093,0.6177,0.6067,0.59578,0.36827,1.50705,2.4758,2.27372,4.99845e-05,4.99845e-05,0.0500655
2,1752.15,1.41446,1.9576,2.05105,0.79739,0.7609,0.81299,0.54919,1.21251,1.95216,1.94486,9.82981e-05,9.82981e-05,0.000113788
3,2614.68,1.21037,1.34716,1.88598,0.85767,0.82932,0.8745,0.62113,1.16418,1.66,1.84355,9.33683e-05,9.33683e-05,9.33683e-05
4,3476.11,1.12895,1.18467,1.7946,0.83675,0.8541,0.89685,0.65569,1.06819,1.39171,1.76289,8.55018e-05,8.55018e-05,8.55018e-05
5,4337.8,1.06035,1.08469,1.71446,0.88594,0.85724,0.90724,0.66623,1.02042,1.3931,1.69077,7.525e-05,7.525e-05,7.525e-05
6,5199.51,1.0153,1.00013,1.65662,0.8866,0.85517,0.90324,0.67699,1.02428,1.35957,1.692,6.33115e-05,6.33115e-05,6.33115e-05
7,6060,0.96409,0.92757,1.60149,0.88531,0.87947,0.91974,0.69404,0.98262,1.32767,1.66159,5.05e-05,5.05e-05,5.05e-05
8,6923.88,0.92908,0.87196,1.56405,0.92293,0.86439,0.92371,0.70055,0.96735,1.21048,1.63442,3.76885e-05,3.76885e-05,3.76885e-05
9,7784.71,0.90497,0.83511,1.52911,0.9114,0.88596,0.92829,0.70029,0.95918,1.19043,1.62408,2.575e-05,2.575e-05,2.575e-05
10,8642.94,0.87866,0.80879,1.50713,0.90783,0.89177,0.92835,0.70785,0.9334,1.18164,1.60622,1.54982e-05,1.54982e-05,1.54982e-05
11,9497.1,0.84957,0.79185,1.47764,0.91202,0.88434,0.93145,0.71076,0.93091,1.16268,1.60696,7.63174e-06,7.63174e-06,7.63174e-06
12,10350.8,0.84651,0.78092,1.47499,0.90152,0.89427,0.93254,0.71171,0.93152,1.18027,1.60633,2.68667e-06,2.68667e-06,2.68667e-06
