epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,706.807,1.0748,1.24384,1.61632,0.78038,0.6771,0.79509,0.54313,1.30134,2.5188,2.19427,4.99802e-05,4.99802e-05,0.0500698
2,1431.64,1.0387,1.13375,1.58007,0.89245,0.88288,0.9316,0.6982,0.95402,1.34618,1.57605,9.82939e-05,9.82939e-05,0.000118072
3,2114.43,0.91031,0.832,1.475,0.91868,0.89198,0.92852,0.70029,0.90672,1.2491,1.53763,9.33683e-05,9.33683e-05,9.33683e-05
4,2796.35,0.91085,0.8186,1.48045,0.911,0.88319,0.93717,0.69942,0.96245,1.17291,1.58588,8.55018e-05,8.55018e-05,8.55018e-05
5,3478.55,0.87332,0.77961,1.44788,0.92373,0.89549,0.94095,0.70851,0.92243,1.11316,1.54087,7.525e-05,7.525e-05,7.525e-05
6,4161.13,0.85758,0.74472,1.43115,0.93479,0.91036,0.94198,0.72202,0.92446,1.16397,1.55883,6.33115e-05,6.33115e-05,6.33115e-05
7,4843.57,0.83773,0.73521,1.41117,0.92098,0.91089,0.94507,0.73387,0.87196,1.1818,1.49535,5.05e-05,5.05e-05,5.05e-05
8,5525.29,0.799,0.69768,1.3737,0.94995,0.88828,0.9448,0.73441,0.86978,1.13523,1.5056,3.76885e-05,3.76885e-05,3.76885e-05
9,6206.98,0.78238,0.6789,1.35309,0.92579,0.91795,0.9478,0.7372,0.84112,1.16483,1.47808,2.575e-05,2.575e-05,2.575e-05
10,6888.62,0.77354,0.65406,1.3384,0.93857,0.90599,0.9449,0.7443,0.84034,1.01172,1.47313,1.54982e-05,1.54982e-05,1.54982e-05
11,7570.73,0.75477,0.64297,1.33342,0.93901,0.91027,0.94887,0.74141,0.84237,1.05125,1.47996,7.63174e-06,7.63174e-06,7.63174e-06
12,8252.82,0.74603,0.63709,1.32209,0.94244,0.91025,0.94912,0.74172,0.83347,1.03959,1.47306,2.68667e-06,2.68667e-06,2.68667e-06
